Date,Total Value
2022-11-18,15477631.907330692
2022-11-21,15342737.658517303
2022-11-22,15487286.97239178
2022-11-23,15613892.52494396
2022-11-24,15782809.919841051
2022-11-25,15807698.358098967
2022-11-28,15667527.795145169
2022-11-29,15657410.213175973
2022-11-30,15776703.317075176
2022-12-01,15912587.457635786
2022-12-02,15877288.257871835
2022-12-05,15841110.000949938
2022-12-06,15625611.724914279
2022-12-07,15508204.240855642
2022-12-08,15437437.869386407
2022-12-09,15609595.958366876
2022-12-12,15500567.866973815
2022-12-13,15386887.882210009
2022-12-14,15691458.926822314
2022-12-15,15669272.556054765
2022-12-16,15403071.692286015
2022-12-19,15324686.068587411
2022-12-20,15104354.178288942
2022-12-21,15188596.703964772
2022-12-22,15357661.732146537
2022-12-23,15101735.375463095
2022-12-26,15099691.633877993
2022-12-27,15150409.909896586
2022-12-28,14974505.286020394
2022-12-29,14976850.724795785
2022-12-30,14933082.36042078
2023-01-03,15204212.543671153
2023-01-04,15229527.804375717
2023-01-05,15296135.715012634
2023-01-06,15435231.02600891
2023-01-09,15855536.656578671
2023-01-10,15961526.086104691
2023-01-11,15976451.483078487
2023-01-12,16098747.504245786
2023-01-13,16231570.370519947
2023-01-16,16424329.740233945
2023-01-17,16383721.44373315
2023-01-30,16960897.148857664
2023-01-31,16678965.84562429
2023-02-01,16827284.7269392
2023-02-02,17092134.68986593
2023-02-03,17041374.375313472
2023-02-06,16840496.292858332
2023-02-07,16907427.250754885
2023-02-08,17174631.62666396
2023-02-09,17167406.798944123
2023-02-10,17162635.328196377
2023-02-13,17173141.60148934
2023-02-14,17232573.66061348
2023-02-15,16938872.095043913
2023-02-16,17125690.85232688
2023-02-17,16988218.66920623
2023-02-20,16990703.133988015
2023-02-21,17043186.804100163
2023-02-22,16847409.057596706
2023-02-23,17130829.96458206
2023-02-24,16860050.066847146
2023-03-01,16872696.16000339
2023-03-02,16880830.52969568
2023-03-03,16924720.930880155
2023-03-06,17203606.42477797
2023-03-07,17207377.56558693
2023-03-08,17095712.78593059
2023-03-09,17075705.39595637
2023-03-10,16712467.84984394
2023-03-13,16720126.238390623
2023-03-14,16494829.202148864
2023-03-15,16547219.006922577
2023-03-16,16456088.171166595
2023-03-17,16703841.11480139
2023-03-20,16614359.610602587
2023-03-21,16692583.140347792
